Rep,LLDelay,IndiffPt
10,70.0,145.63156315631562
10,80.0,148.7938793879388
11,5.0,54.156915691569154
11,10.0,57.04020402040204
11,20.0,100.75457545754576
11,30.0,124.76647664766476
11,40.0,126.85918591859186
11,50.0,141.66316631663165
11,60.0,141.67866786678667
11,70.0,149.04190419041905
11,80.0,157.07170717071708
12,5.0,15.0
12,10.0,75.25452545254525
12,20.0,95.82508250825083
12,30.0,114.53545354535454
12,40.0,134.48594859485948
12,50.0,140.82608260826083
12,60.0,134.45494549454946
12,70.0,143.27532753275327
12,80.0,153.95589558955896
13,5.0,24.424942494249425
13,10.0,67.14721472147215
13,20.0,95.31353135313532
13,30.0,109.35793579357936
13,40.0,141.64766476647665
13,50.0,137.2762276227623
13,60.0,146.995699569957
13,70.0,157.16471647164715
13,80.0,152.4987498749875
14,5.0,42.26722672267226
14,10.0,71.41014101410141
14,20.0,102.70777077707771
14,30.0,120.34853485348535
14,40.0,140.20602060206022
14,50.0,136.28412841284128
14,60.0,151.27412741274128
14,70.0,147.29022902290228
14,80.0,155.38203820382037
15,5.0,28.40884088408841
15,10.0,65.64356435643565
15,20.0,100.7080708070807
15,30.0,118.3023302330233
15,40.0,139.16741674167417
15,50.0,142.06620662066206
15,60.0,144.91849184918493
15,70.0,152.56075607560757
15,80.0,147.91029102910292
16,5.0,26.517651765176517
16,10.0,54.373937393739375
16,20.0,98.90989098909891
16,30.0,114.87648764876488
16,40.0,122.7977797779778
16,50.0,145.92609260926093
16,60.0,152.8242824282428
16,70.0,153.42884288428843
16,80.0,154.14191419141915
17,5.0,28.43984398439844
17,10.0,61.67516751675168
17,20.0,88.02780278027802
17,30.0,117.41874187418742
17,40.0,144.3914391439144
17,50.0,127.04520452045205
17,60.0,148.25132513251324
17,70.0,149.07290729072906
17,80.0,159.2109210921092
18,5.0,15.0
18,10.0,65.61256125612562
18,20.0,107.6992699269927
18,30.0,125.63456345634563
18,40.0,132.19171917191719
18,50.0,132.005700570057
18,60.0,149.04190419041905
18,70.0,156.25012501250126
18,80.0,159.1024102410241
19,5.0,32.764776477647764
19,10.0,34.934993499349936
19,20.0,93.43784378437844
19,30.0,105.28102810281028
19,40.0,126.22362236223623
19,50.0,143.92639263926392
19,60.0,137.09020902090208
19,70.0,152.43674367436745
19,80.0,161.3191319131913
20,5.0,46.638663866386636
20,10.0,62.791279127912794
20,20.0,96.87918791879189
20,30.0,117.000200020002
20,40.0,132.06770677067706
20,50.0,124.31693169316932
20,60.0,145.3060306030603
20,70.0,144.94949494949495
20,80.0,149.56895689568958
21,5.0,34.485448544854485
21,10.0,64.15541554155416
21,20.0,90.53905390539055
21,30.0,117.65126512651266
21,40.0,123.34033403340334
21,50.0,131.54065406540656
21,60.0,152.6847684768477
21,70.0,156.3896389638964
21,80.0,150.35953595359535
22,5.0,72.15421542154215
22,10.0,61.34963496349635
22,20.0,101.56065606560657
22,30.0,109.07890789078908
22,40.0,127.99079907990799
22,50.0,131.8971897189719
22,60.0,155.75407540754077
22,70.0,153.53735373537353
22,80.0,162.016701670167
23,5.0,51.645664566456645
23,10.0,54.09490949094909
23,20.0,103.45184518451845
23,30.0,121.97619761976198
23,40.0,129.7114711471147
23,50.0,144.51545154515452
23,60.0,143.16681668166817
23,70.0,149.15041504150415
23,80.0,153.02580258025802
24,5.0,36.857185718571856
24,10.0,76.21562156215622
24,20.0,86.52415241524153
24,30.0,110.22602260226023
24,40.0,143.81788178817882
24,50.0,145.18201820182017
24,60.0,128.5953595359536
24,70.0,150.32853285328534
24,80.0,146.03460346034603
25,5.0,64.52745274527453
25,10.0,56.683668366836685
25,20.0,94.86398639863987
25,30.0,119.74397439743974
25,40.0,131.86618661866186
25,50.0,145.84858485848585
25,60.0,142.84128412841284
25,70.0,142.08170817081708
25,80.0,163.90789078907892
26,5.0,30.43954395439544
26,10.0,59.24142414241424
26,20.0,101.14211421142114
26,30.0,119.96099609960996
26,40.0,148.01880188018802
26,50.0,146.59265926592659
26,60.0,147.08870887088707
26,70.0,131.26162616261627
26,80.0,170.0
27,5.0,43.135313531353134
27,10.0,76.47914791479147
27,20.0,100.19651965196519
27,30.0,104.72297229722972
27,40.0,130.0990099009901
27,50.0,136.8111811181118
27,60.0,149.55345534553456
27,70.0,146.87168716871687
27,80.0,160.48204820482047
28,5.0,53.49034903490349
28,10.0,73.33233323332334
28,20.0,103.65336533653365
28,30.0,123.26282628262827
28,40.0,141.8956895689569
28,50.0,141.67866786678667
28,60.0,147.73977397739773
28,70.0,147.3057305730573
28,80.0,139.6169616961696
29,5.0,28.269326932693268
29,10.0,54.823482348234826
29,20.0,107.51325132513252
29,30.0,130.6105610561056
29,40.0,138.1133113311331
29,50.0,135.3075307530753
29,60.0,140.31453145314532
29,70.0,158.2963296329633
29,80.0,154.21942194219423
30,5.0,45.894589458945894
30,10.0,60.26452645264526
30,20.0,103.91689168916892
30,30.0,111.2026202620262
30,40.0,137.67926792679268
30,50.0,146.32913291329132
30,60.0,136.16011601160116
30,70.0,148.34433443344335
30,80.0,162.016701670167
