Rep,Mazur k,Mazur R^2,Mazur Sy.x,Mazur Residuals,Myerson & Green k,Myerson & Green s,Myerson & Green R^2,Myerson & Green Sy.x,Myerson & Green Residuals,Rachlin k,Rachlin s,Rachlin R^2,Rachlin Sy.x,Rachlin Residuals
11,0.033169407833740776,0.9616939317597333,6.351591594024105,"[  7.55395048  -6.34527871 -10.45592086   1.67857272  -2.448426
   5.84429372   5.13009436   2.54203976]",0.044752994622196875,0.8236211306952328,0.9654208933753441,6.034699660356319,"[10.24637542 -4.25181695 -9.42059457  1.7317103  -3.2103506   4.4268234
  3.18959981  0.18427516]",0.03837237228319433,0.9597070841351915,0.9630114481235346,6.241406093995578,"[  9.55126893  -5.14868631 -10.02456709   1.53576683  -3.00605794
   4.9878441    4.05743908   1.31226185]"
12,0.027017605307870295,0.8603128299125148,10.019489684307128,"[-14.69034878  -5.68054139  -3.63880738  -8.22645146  -2.73490068
  13.02872304  11.84543432   7.4966175 ]",0.10210133248219731,0.45606403685789915,0.9639039144386411,5.093278178944322,"[-1.45500691  4.41574828  1.65231211 -7.31391064 -5.48320575  7.28004956
  3.64168871 -2.72479588]",0.07356504652327836,0.7284085500526067,0.9617038925847615,5.246197778845545,"[ 0.24827367  3.73042099  0.50444639 -8.23644115 -5.93139533  7.38508825
  4.30824665 -1.51824245]"
13,0.0298515561944667,0.9554944346196763,6.75105019648996,"[ -4.02852397  -2.06475107   4.53100621 -12.73500103   3.06162245
   2.32342296  -0.59984832  10.03507031]",0.04773865658879018,0.7386957010335691,0.9644907453137396,6.0302449593504655,"[  0.27683882   1.42434654   6.39563162 -12.43304829   2.03390034
   0.20357373  -3.60776042   6.30576367]",0.04197412696585684,0.9069162373165778,0.9631230461150037,6.1452802882869975,"[  0.81762985   0.99411708   5.79533291 -12.86784187   1.88586045
   0.37311582  -3.12759991   7.07458107]"
14,0.030444404092856446,0.9165756518721757,8.300928205066837,"[-6.97998928 -7.55444302 -4.24920226 -8.91138649  6.5375161   0.59150913
 11.86066799  9.76294166]",0.08374193858899248,0.5440732243550626,0.9742791579043958,4.609171187150647,"[ 3.27081437  0.08239676 -0.4793102  -8.59314577  4.0234639  -4.20338938
  5.2305355   1.64895701]",0.06502195373060139,0.7920077670180468,0.968249162809809,5.121036099234977,"[ 4.40170241 -0.68959363 -1.53068421 -9.35390449  3.74276683 -3.95878675
  5.98887798  2.88774527]"
15,0.032624146640721774,0.9439815685830661,7.109159784567695,"[-0.65743652 -5.47283913 -2.79261473 -9.12245843 -1.09043369  4.57650028
  3.76065091 14.00367946]",0.06491367059776325,0.6529464454004413,0.9681042582045641,5.3643753352195,"[ 5.98033168 -0.52412443 -0.42398408 -9.06176251 -2.91459786  1.24614769
 -0.77024808  8.51235787]",0.05291553752328563,0.8664604207313717,0.961722171045727,5.876604350019354,"[ 6.27422031 -1.3803249  -1.29657554 -9.57028546 -2.9548718   1.67768877
  0.10077098  9.77970756]"
16,0.035320043246897616,0.9677966434634857,6.306322567953832,"[11.13586206 -3.79989588 -0.31855492  5.51427835 -7.37253325 -6.34859839
 -0.64265461  3.78953846]",0.024958564368012554,1.2708941338215665,0.9714149147851826,5.941489809316961,"[ 8.34874742 -6.06603174 -1.472154    5.44000954 -6.53574446 -4.77649675
  1.51306009  6.40543634]",0.02453885585219724,1.1010777624862018,0.97405829616335,5.66010984297789,"[ 6.38531808 -6.66596159 -1.30527239  5.921184   -5.98383877 -4.27454707
  1.90971082  6.67542828]"
17,0.0301305060418113,0.9386590336133515,8.426107340883858,"[  0.99583773   4.38905558  -4.67092047 -16.86840095  11.70084407
  -0.69092292   5.59345763   1.30581358]",0.03699634174069397,0.8723404562773891,0.9401466545408574,8.323306652429899,"[  2.76284112   5.85876197  -3.87275532 -16.73481689  11.26147976
  -1.60380793   4.29469718  -0.3062225 ]",0.03333561680529752,0.972347040535448,0.939230037998774,8.386797612152046,"[  2.38021216   5.27250141  -4.30967394 -16.91535601  11.35052673
  -1.26470411   4.85481993   0.44516291]"
18,0.03143302616465847,0.9397977797106077,7.505555727602957,"[ -0.45792069 -11.74960495  -8.85369701  -0.3811096   11.16051242
   3.00629296   2.93530357   5.94362031]",0.0663912844840187,0.6300879023700203,0.96746179362568,5.517894647230309,"[ 6.9433785  -6.1297547  -6.05662344 -0.14098232  9.29383579 -0.55636202
 -1.98811429 -0.07514915]",0.05434975050463033,0.8495586622178456,0.963303136297819,5.859911728530816,"[ 7.61540262 -6.88346943 -6.9723257  -0.76311638  9.11064502 -0.27395117
 -1.25927739  1.06446989]"
19,0.036718519868090826,0.9005481587881188,12.957397112449044,"[ 28.74446274  -1.69087883   4.72549779  -3.38916328 -11.58582697
   2.57701867  -6.94986713 -11.09801549]",0.005254173531224193,4.699180505329912,0.946069332566914,9.54177678304539,"[ 18.83014608 -10.51937684  -0.13783983  -3.92712127  -8.24065916
   9.15519757   2.21627644   0.08700775]",0.008466669474028682,1.4094768542906375,0.9613628501335001,8.076327031150377,"[ 12.428588   -12.08988095   1.35607328  -1.50296871  -6.12745925
  10.39100649   2.39241581  -0.78365244]"
20,0.03135484932949765,0.9460768710287779,6.853325752442945,"[-0.68071948 -5.81487811 -6.33820722 -7.25993445 11.18192177 -1.44295047
  5.63604506  6.53745571]",0.059267106007525765,0.6708467049789398,0.9651171770009872,5.51213245401451,"[ 5.13675398 -1.33275425 -4.08473718 -7.05321046  9.69112905 -4.30487663
  1.67223652  1.68629131]",0.04938320807226014,0.8751972237560816,0.9611602743275404,5.816368445476114,"[ 5.56189958 -2.02503691 -4.8705311  -7.55917603  9.58098795 -4.0022996
  2.36654876  2.73824599]"
21,0.02944061667526559,0.9704424473558144,5.5754071633584035,"[-2.40522758  0.635747   -6.25183259  2.81515113  5.85614367 -6.43927491
 -2.99766721  8.92477932]",0.03883129740064331,0.8327203815102082,0.9732115911934763,5.30781541989795,"[-0.01689236  2.63711326 -5.14372993  3.03487852  5.30695119 -7.62639609
 -4.70667812  6.7903437 ]",0.03596354009398806,0.9454617894165507,0.9728581021494364,5.342720545119052,"[ 0.34190512  2.4058549  -5.50235006  2.76132381  5.20055412 -7.54189336
 -4.43301993  7.24080473]"
22,0.02978199165224058,0.9733926234881107,5.528128900012843,"[ 1.46566221 -8.77913708  4.24213378  0.28665417  7.75761601 -7.15356416
  2.28151501 -0.25056659]",0.03343708381451939,0.9251957407378718,0.9738280968931488,5.48270381598538,"[ 2.45736099 -7.9343801   4.71758132  0.38879592  7.5343171  -7.64772131
  1.56558868 -1.14712606]",0.03271094131853359,0.9744380281876146,0.9738938035141868,5.475817111307082,"[ 2.76536572 -7.93747604  4.59864678  0.26135852  7.44726562 -7.67467182
  1.60440836 -1.043503  ]"
