File,Rep,Sched,P1,R1,B1,P2,R2,B2,SSMag,LLDelay,PropSS
ssmag115.xlsx,14,1,0.0,2.6,3.1,0.0,81.8,340.775,115.0,5.0,0.00901490367139222
ssmag115.xlsx,14,2,0.0,7.2,8.575,0.0,38.975,262.15,115.0,10.0,0.03167420814479638
ssmag115.xlsx,14,3,0.0,62.95,73.4,0.0,8.35,79.3,115.0,20.0,0.4806810740013098
ssmag115.xlsx,14,4,0.0,64.0,75.825,0.0,5.225,63.05,115.0,30.0,0.545994599459946
ssmag115.xlsx,14,5,0.0,61.6,72.825,0.0,4.6,61.2,115.0,40.0,0.5433687744823726
ssmag115.xlsx,14,6,0.0,72.425,86.05,0.0,3.075,39.675,115.0,50.0,0.6844303042354345
ssmag115.xlsx,14,7,0.0,72.975,85.6,0.0,2.55,37.05,115.0,60.0,0.6979209131675499
ssmag115.xlsx,14,8,0.0,69.55,82.3,0.0,2.55,36.975,115.0,70.0,0.6900020959966463
ssmag115.xlsx,14,9,0.0,93.0,109.6,0.0,1.0,15.7,115.0,80.0,0.8747007182761373
ssmag115.xlsx,15,1,0.0,0.0,0.0,0.0,82.325,348.275,115.0,5.0,0.0
ssmag115.xlsx,15,2,0.0,7.725,8.9,0.0,38.75,257.55,115.0,10.0,0.033402139238130985
ssmag115.xlsx,15,3,0.0,51.15,60.625,0.0,11.65,108.05,115.0,20.0,0.35941900103749813
ssmag115.xlsx,15,4,0.0,55.825,66.625,0.0,6.8,75.775,115.0,30.0,0.46787219101123595
ssmag115.xlsx,15,5,0.0,79.2,92.9,0.0,3.5,42.675,115.0,40.0,0.6852295777245069
ssmag115.xlsx,15,6,0.0,78.575,93.65,0.0,2.2,33.375,115.0,50.0,0.7372564455815784
ssmag115.xlsx,15,7,0.0,90.775,106.375,0.0,1.275,19.65,115.0,60.0,0.8440785558420948
ssmag115.xlsx,15,8,0.0,77.05,90.3,0.0,2.45,38.575,115.0,70.0,0.7006789524733269
